0 1 0
1 2 -10
2 3 -29
3 4 -25
4 5 -9
5 6 55
6 7 71
7 8 98
8 9 77
9 10 27
10 11 -13
11 12 -62
12 13 -103
13 14 -146
14 15 -182
15 16 -162
16 17 -79
17 18 60
18 19 222
19 20 375
20 21 518
21 22 661
22 23 804
23 24 947
24 25 1090
25 26 1233
26 27 1376
27 28 1519
28 29 1662
29 30 1805
30 31 1948
31 32 2091
32 33 2234
33 34 2377
34 35 2520
35 36 2663
36 37 2806
37 38 2949
38 39 3092
39 40 3235
40 41 3378
41 42 3521
42 43 3664
43 44 3807
44 45 3950
45 46 4093
46 47 4236
47 48 4379
48 49 4522
49 50 4665
50 51 4808
51 52 4951
52 53 5094
53 54 5237
54 55 5380
55 56 5523
56 57 5666
57 58 5809
58 59 5952
59 60 6095
60 61 6238
61 62 6381
62 63 6524
63 64 6667
64 65 6810
65 66 6953
66 67 7096
67 68 7239
68 69 7382
69 70 7525
70 71 7668
71 72 7811
72 73 7954
73 74 8097
74 75 8240
75 74 8383
76 73 8546
77 72 8727
78 71 8862
79 70 8973
80 69 8988
81 68 9099
82 67 9188
83 66 9373
84 65 9616
85 64 9839
86 63 10080
87 62 10305
88 61 10534
89 60 10749
90 59 10852
91 58 10829
92 57 10694
93 56 10513
94 55 10350
95 54 10207
96 53 10064
97 52 9921
98 51 9778
99 50 9635
100 49 9492
101 48 9349
102 47 9206
103 46 9063
104 45 8920
105 44 8777
106 43 8634
107 42 8491
108 41 8348
109 40 8205
110 39 8062
111 38 7919
112 37 7776
113 36 7633
114 35 7490
115 34 7347
116 33 7204
117 32 7061
118 31 6918
119 30 6775
120 29 6632
121 28 6489
122 27 6346
123 26 6203
124 25 6060
125 24 5917
126 23 5774
127 22 5631
128 21 5488
129 20 5345
130 19 5202
131 18 5059
132 17 4916
133 16 4773
134 15 4630
135 14 4487
136 13 4344
137 12 4201
138 11 4058
139 10 3915
140 9 3772
141 8 3629
142 7 3486
143 6 3343
144 5 3200
145 4 3057
146 3 2914
147 2 2771
148 1 2628
149 0 2485
150 -1 2342
151 -2 2199
152 -3 2056
153 -4 1913
154 -5 1770
155 -6 1627
156 -7 1484
157 -8 1341
158 -9 1198
159 -10 1055
160 -11 912
161 -12 769
162 -13 626
163 -14 483
164 -15 340
165 -16 197
166 -17 54
167 -18 -89
168 -19 -232
169 -20 -375
170 -21 -518
171 -22 -661
172 -23 -804
173 -24 -947
174 -25 -1090
175 -26 -1233
176 -27 -1376
177 -28 -1519
178 -29 -1662
179 -30 -1805
180 -31 -1948
181 -32 -2091
