0 1 0
1 2 -10
2 3 -29
3 4 -25
4 5 35
5 6 158
6 7 337
7 8 539
8 9 732
9 10 915
10 11 1088
11 12 1252
12 13 1439
13 14 1682
14 15 1988
15 16 2350
16 17 2735
17 18 3111
18 19 3477
19 20 3833
20 21 4180
21 22 4550
22 23 4976
23 24 5465
24 25 6010
25 26 6578
26 27 7137
27 28 7686
28 29 8291
29 30 8959
30 31 9683
31 32 10430
32 33 11177
33 34 11924
34 35 12671
35 36 13418
36 37 14165
37 38 14912
38 39 15659
39 40 16406
40 41 17153
41 42 17900
42 43 18647
43 44 19394
44 45 20141
45 46 20888
46 47 21635
47 48 22382
48 49 23129
49 50 23876
50 51 24623
51 52 25370
52 53 26117
53 54 26864
54 55 27611
55 56 28358
56 57 29105
57 58 29852
58 59 30599
59 60 31346
60 61 32093
61 62 32840
62 63 33587
63 64 34334
64 65 35081
65 66 35828
66 67 36575
67 68 37322
68 69 38069
69 70 38816
70 71 39563
71 72 40310
72 73 41057
73 74 41804
74 75 42551
75 74 43298
76 73 44065
77 72 44850
78 71 45589
79 70 46216
80 69 46717
81 68 47106
82 67 47449
83 66 47810
84 65 48191
85 64 48592
86 63 49011
87 62 49384
88 61 49645
89 60 49780
90 59 49803
91 58 49780
92 57 49775
93 56 49790
94 55 49825
95 54 49878
96 53 49885
97 52 49780
98 51 49549
99 50 49206
100 49 48817
101 48 48446
102 47 48095
103 46 47632
104 45 47043
105 44 46342
106 43 45595
107 42 44848
108 41 44101
109 40 43354
110 39 42607
111 38 41860
112 37 41113
113 36 40366
114 35 39619
115 34 38872
116 33 38125
117 32 37378
118 31 36631
119 30 35884
120 29 35137
121 28 34390
122 27 33643
123 26 32896
124 25 32149
125 24 31402
126 23 30655
127 22 29908
128 21 29161
129 20 28414
130 19 27667
131 18 26920
132 17 26173
133 16 25426
134 15 24679
135 14 23932
136 13 23185
137 12 22438
138 11 21691
139 10 20944
140 9 20197
141 8 19450
142 7 18703
143 6 17956
144 5 17209
145 4 16462
146 3 15715
147 2 14968
148 1 14221
149 0 13474
150 -1 12727
151 -2 11980
152 -3 11233
153 -4 10486
154 -5 9739
155 -6 8992
156 -7 8245
157 -8 7498
158 -9 6751
159 -10 6004
160 -11 5257
161 -12 4510
162 -13 3763
163 -14 3016
164 -15 2269
165 -16 1522
166 -17 775
167 -18 28
168 -19 -719
169 -20 -1466
170 -21 -2213
171 -22 -2960
172 -23 -3707
173 -24 -4454
174 -25 -5201
175 -26 -5948
176 -27 -6695
177 -28 -7442
178 -29 -8189
179 -30 -8936
